nome_attrattore,risorsa_territoriale,codice_istat_comune,comume,indirizzo,numerocivico,cap,latitudine,longitudine,sitoweb,email,telefono,fax,cellulare,servizi,attrezzature,foto1,autore_foto1,foto2,autore_foto2,foto3,autore_foto3,descrizione
Giardino pensile del Palazzo ducale,Giardini e ville comunali,075062,Presicce (LE),Piazza del Popolo ,75,73054,39.898792,18.260557,,,+390833726405,,,,,http://www.viaggiareinpuglia.it/img/GiardiniVilleCom/luoghi_di_intrattenimento_lecce_bevilacqua_1429776038312.jpg,Carlo Elmiro Bevilacqua,,,,,L'ala meridionale del Palazzo ducale di  Presicce  accoglie il suggestivo Giardino pensile di pianta rettangolare. Si tratta di un tipico  giardino all'italiana   che si distingue in  due zone  su altrettanti livelli. I  portali  d'accesso  decorati con nicchie  statue e motivi vegetali  sono quattro e si aprono sul lato occidentale  da cui partono due percorsi e quattro aiuole rettangolari rialzate.     Il percorso più ampio è arricchito da una  fontana  e da un  belvedere . Aranci e mandarini  melograni e nespoli sono solo alcune delle specie arboree presenti nel giardino  che è dotato anche di un  pergolato  in ferro su cui si arrampica un profumato glicine.
Villa comunale «Giuseppe Garibaldi»,Giardini e ville comunali,075035,Lecce (LE),Via XXV Luglio,,73100,40.3552,18.174889,,,+390832682985   ,,,Servizi Igienici e docce-Bar - Punto ristoro,Parcheggio a pagamento,http://www.viaggiareinpuglia.it/img/GiardiniVilleCom/luoghi_di_intrattenimento_lecce_bevilacqua_1429627615194.jpg,Carlo Elmiro Bevilacqua,,,,,L'ottocentesca Villa comunale di  Lecce  si trova in pieno centro cittadino  tra  piazza Mazzini  e  piazza Sant'Oronzo .     Dal centro della villa  caratterizzato da un  tempietto  a otto colonne con cupola verde maiolicata  si dipartono i  viali  principali  perpendicolari  da cui si dipanano percorsi secondari immersi nella vegetazione.     Alcune piante esotiche  come la phytolacca dioica tipica dell'Argentina  si alternano ai pini e ad altri  esemplari autoctoni . L'intera area è punteggiata da  busti in marmo  di personaggi illustri del territorio  scolpiti da Eugenio Maccagnani e Giuseppe Mangionello alla fine dell'800  che culminano nel  Monumento a Giuseppe Garibaldi .
Villa Episcopo,Giardini e ville comunali,075061,Poggiardo (LE),Piazza Episcopo,,73037,40.05253,18.378012,,,+39800551155 ,,,,,http://www.viaggiareinpuglia.it/img/GiardiniVilleCom/luoghi_di_intrattenimento_lecce_bevilacqua_1429775999447.jpg,Carlo Elmiro Bevilacqua,,,,,Il lussureggiante giardino di Villa Episcopo si apre sull'omonima piazza cittadina  nel cuore di  Poggiardo .     La costruzione risale alla fine del XIX secolo e rappresenta uno dei migliori esempi di  architettura del paesaggio  nel Salento. Aiuole e specie arboree furono oggetto  fin dall'inizio  di un'accurata progettazione  che ha reso il giardino un luogo di rara bellezza.     Scorci e vedute pittoresche caratterizzano l'area verde  dove si alternano viali  siepi   grotte artificiali  e un  campo da tennis .
Parco Robinson,Giardini e ville comunali,075072,Santa Cesarea Terme (LE),Via Belvedere,,73020,40.038563,18.458414,,,+390836949811,,,,,http://www.viaggiareinpuglia.it/img/GiardiniVilleCom/luoghi_di_intrattenimento_lecce_bevilacqua_1429776137934.jpg,Carlo Elmiro Bevilacqua,,,,,Filari di pini e bassi cespugli di  macchia mediterranea  colorano di verde il Parco Robinson di Santa Cesarea Terme  che domina dall'alto la bella località della costa adriatica.     Recentemente sottoposta a lavori di risistemazione  durante l'estate la pineta si accende di eventi e concerti ed è dotata di un punto ristoro in cui gustare aperitivi e stuzzichini all'aria aperta  ammirando uno splendido panorama a breve distanza dal mare. 
Piazza del Porto a Torre San Giovanni,Luoghi di intrattenimento,075090,Ugento (LE),Lungomare Ionio,,73059,39.88747,18.114855,,,+390833555476,,,,Scivolo a mare,http://www.viaggiareinpuglia.it/img/GiardiniVilleCom/luoghi_di_intrattenimento_lecce_bevilacqua_1429777203202.jpg,Carlo Elmiro Bevilacqua,,,,,La brezza vivace dello  Ionio  soffia sulla piazzetta di  Torre San Giovanni   marina di  Ugento   a pochi metri dal porto turistico.     Le  aiuole alberate  con pini e cespugli bassi  dove sono sistemate alcune panchine  rendono lo spazio il luogo perfetto per una sosta e per incontrare gli amici in riva al mare gustando un gelato o un aperitivo.     D'estate  il verde diventa location per  eventi  e concerti all'aria aperta. 
Villa Carmine,Giardini e ville comunali,073013,Martina Franca (TA),Via Pergolesi,,74015,40.70844,17.334747,,info.martinafranca@viaggiareinpuglia.it,+390804805702,,,,,http://www.viaggiareinpuglia.it/img/GiardiniVilleCom/luoghi_di_intrattenimento_taranto_ruggeri_1429778465930.jpg,Andrea Ruggeri,,,,,Giochi e attività per i bambini si trovano tra gli alberi della Villa Carmine di  Martina Franca   uno dei luoghi pubblici più vissuti della città che sorge nei pressi dell'omonima chiesa  in via Pergolesi.     Ampia e sicura  posta in pendenza rispetto al piano stradale  la villa scende giù con i suoi terrazzamenti e il rigogliosissimo verde  accompagnando la conformazione del territorio.     La colorata scalinata dell' Arena della Pace  ospita spettacoli e concerti  tanto verde  una veduta panoramica e un dog park riservato agli amici a quattro zampe.     Piante e alberi di alto fusto  cespugli  aiuole  accolgono anche un  Laboratorio urbano  e le tante iniziative culturali.
Villa comunale Giuseppe Garibaldi,Giardini e ville comunali,073013,Martina Franca (TA),Piazzetta Sant¿Antonio,,74015,40.70934,17.330374,,info.martinafranca@viaggiareinpuglia.it,+390804805702,,,Servizi Igienici e docce-Ristorazione-Bar - Punto ristoro-Offerte ricreative,,http://www.viaggiareinpuglia.it/img/GiardiniVilleCom/luoghi_di_intrattenimento_taranto_ruggeri_1429778481867.jpg,Andrea Ruggeri,,,,,La Villa comunale Giuseppe Garibaldi occupa un ettaro a ridosso del borgo antico di  Martina Franca  e offre servizi  ristoro  frescura e tanto verde .       I giardini pubblici sono un bene prezioso per la città  luogo di passeggiate  incontri e svago  grazie agli ampi  viali   alla grande varietà di piante e alberi  molti secolari  e alle  caratteristiche architettoniche  degli arredi  come la fontana e i diversi edifici  i cancelli e la pavimentazione.     La Villa comunale è recintata e accessibile da diversi punti. L'ingresso principale è su piazzetta Sant'Antonio e  all'interno  c'è un ampio edificio adibito a  bar   pizzeria e ristorante.     Durante la bella stagione  il giardino pubblico è anche cornice di diverse  iniziative  culturali e feste.
Villetta San Francesco D'Assisi,Giardini e ville comunali,073013,Martina Franca (TA),Piazza Mario Pagano,,74015,40.705494,17.332357,,info.martinafranca@viaggiareinpuglia.it,+390804805702,,,,,http://www.viaggiareinpuglia.it/img/GiardiniVilleCom/luoghi_di_intrattenimento_taranto_ruggeri_1429778554987.jpg,Andrea Ruggeri,,,,,Una piccola oasi al cospetto della chiesa di San Francesco  in piazza Mario Pagano a   Martina Franca    un luogo di incontro e sosta prevalentemente utilizzato dai fedeli e dai bambini  che hanno a disposizione un piccolo e accogliente parco giochi.     La villetta  sempre aperta e non recintata  dotata di panchine  è dominata da pini e alberi di alto fusto  ideale protezione dalla calura estiva per momenti di relax per i grandi  e svago per i più piccoli.
Villetta Santa Famiglia,Giardini e ville comunali,073013,Martina Franca (TA),Via Antonino Pulito,,74015,40.70126,17.33352,,info.martinafranca@viaggiareinpuglia.it,+390804805702,,,,,http://www.viaggiareinpuglia.it/img/GiardiniVilleCom/luoghi_di_intrattenimento_taranto_ruggeri_1429778576823.jpg,Andrea Ruggeri,,,,,Protetta da una ringhiera e ombreggiata da imponenti alberi  la villetta Santa Famiglia di  Martina Franca  è un giardino pubblico accogliente  con un angolo dedicato ai giochi per i bambini  una  fontana  e un piccolo  anfiteatro  posti davanti all'ingresso principale.     Ubicata in piena zona residenziale  racchiusa tra le vie Antonino Pulito e Avvocato Giovanni Serio  l'area è sopraelevata rispetto al manto stradale e dotata di vialetti e verde rigoglioso. La versatilità degli spazi rende la villetta il luogo ideale per il ritrovo di cittadini di tutte le età.   
Cala Paradiso,Spiagge,072030,Monopoli (BA),Cala Paradiso,,70043,40.943844,17.314072,,info.monopoli@viaggiareinpuglia.it,+390804140264,,,,,http://www.viaggiareinpuglia.it/img/Parco/mare1_giannella_1426245843494.jpg,Vittorio Giannella,,,,,Oasi per gli sportivi  Cala Paradiso a  Monopoli  è l'ideale per chi non ha voglia di annoiarsi in riva al mare. Premiata con le 3 Vele di Legambiente  la spiaggia in parte attrezzata e in parte libera sorge alla periferia sud della città. È raggiungibile dal centro in auto in 5 minuti usufruendo dell'ampio parcheggio  inoltre è collegata alla città dal servizio di trasporto pubblico.     Gli ombrelloni e le sdraio spuntano sulla spiaggetta di  sabbia sottile  cinta su entrambi i lati da due bracci di  scogliera  che si allungano verso il mare.     Dopo la tintarella e qualche tuffo  in estate spazio libero allo  sport  con i corsi di pallavolo  nuoto e calcetto e i tornei di basket  beach volley  calcio e fun-ball. Per rifocillarsi si può fare tappa nei bar e nel ristorante che propone menù per vegetariani e celiaci.
Candela,Borghi storici,071009,Candela (FG),c/o Polo Museale - Via Santa Maria del Popolo,68,71022,41.13544,15.514544,,polomusealeas@gmail.com,+390885651756,,,,,http://www.viaggiareinpuglia.it/img/Localita/candela_1415008065625.jpg,,,,,,Città della Capitanata Meridionale  Candela sorge sulle colline di San Rocco e San Tommaso  a 500 m sul livello del mare e a 40 km da   Foggia  . La storia di Candela è legata al Fiume Ofanto  che divide il paese dal versante lucano e campano.     Racchiusa tra il  Fiume Ofanto  e il  Torrente Carapelle   Candela è un centro dal passato millenario  la cui essenza è ancora viva nel suggestivo borgo medievale  la  Cittadella  sulle colline  dove fu fondata dai Longobardi del Ducato di Benevento.     In piazza Plebiscito sorge la    Chiesa Madre    dedicata a Santa Maria della Purificazione  che racchiude un coro ligneo finemente lavorato e il cinquecentesco fonte battesimale. Sulla  Collina di San Rocco  sorge l'omonima chiesa in stile romanico dal portale con mosaico bizantineggiante.
Candela,Comune,071009,Candela (FG),c/o Polo Museale - Via Santa Maria del Popolo,68,71022,41.13544,15.514544,,polomusealeas@gmail.com,+390885651756,,,,,http://www.viaggiareinpuglia.it/img/Localita/candela_1415008065625.jpg,,,,,,Città della Capitanata Meridionale  Candela sorge sulle colline di San Rocco e San Tommaso  a 500 m sul livello del mare e a 40 km da   Foggia  . La storia di Candela è legata al Fiume Ofanto  che divide il paese dal versante lucano e campano.     Racchiusa tra il  Fiume Ofanto  e il  Torrente Carapelle   Candela è un centro dal passato millenario  la cui essenza è ancora viva nel suggestivo borgo medievale  la  Cittadella  sulle colline  dove fu fondata dai Longobardi del Ducato di Benevento.     In piazza Plebiscito sorge la    Chiesa Madre    dedicata a Santa Maria della Purificazione  che racchiude un coro ligneo finemente lavorato e il cinquecentesco fonte battesimale. Sulla  Collina di San Rocco  sorge l'omonima chiesa in stile romanico dal portale con mosaico bizantineggiante.
Castelluccio Valmaggiore,Comune,071016,Castelluccio Valmaggiore (FG),Piazza Giovanni XXIII,-,71029,41.342625,15.200095,,info.troia@viaggiareinpuglia.it,+390881970020,,,,,http://www.viaggiareinpuglia.it/img/Localita/castelluccio_vlm_panorama_1415008397936.jpg,,,,,,A circa 40 chilometri da   Foggia    veglia sulla valle del fiume  Celone   la torre di Castelluccio Valmaggiore  piccolo borgo dei Monti Dauni.     Dell'antico castello bizantino  resta solo la  torre   alta 20 metri  che domina la vallata  punto d'osservazione privilegiato sulla Traiana e il territorio circostante. Il grazioso  centro storico  è impregnato di suggestioni medievali: tra i vicoletti  spunta il profilo delle chiese di  Santa Maria delle Grazie   di  San Rocco  e di  San Giovanni Battista   le sagome delle  residenze nobiliari  e le caratteristiche  fontane ottocentesche   tra cui il  lavatoio pubblico del Piscero .     La scoperta della piccola Castelluccio continua fuori dalle porte della città con la natura incontaminata del  Bosco del Monte Sidone   all'interno dell'area protetta Lago Pescara - Monte Cornacchia - Bosco Cerasa  attraversato dal  fiume Celone  e dal  torrente Freddo   rilassandosi con un pic-nic ai piedi dei pini d'Aleppo della  pineta Petrera   dove si trova il caratteristico  Ponte del Freddo . 
Celle di San Vito,Comune,071019,Celle San Vito (FG),Piazza Giovanni XXIII,-,71029,41.326523,15.180981,,info.troia@viaggiareinpuglia.it,+390881970020,,,,,http://www.viaggiareinpuglia.it/img/Localita/celle_di_san_vito__panorama_1415008464666.jpg,,,,,,A 36 chilometri dal capoluogo e circa 10 dalle belle cittadine di   Troia   e   Biccari    Celle di San Vito è il più piccolo comune della provincia  con meno di duecento abitanti  arroccato su un alto colle  a 700 metri sul livello del mare.     È una vera e propria immersione nella natura  la scoperta di Celle  il cui nome deriva dagli antichi eremi duecenteschi  occupati dai monaci presso il  Monte San Vito . Sono le lussureggianti distese di verde a colpire lo sguardo giungendo nel piccolo comune  circondato dai  boschi  di faggi  querce  frassini  pini  pioppi e salici  dove seguire il volo dei  falchi   incontrare le  volpi   il  nibbio bruno   gli  scoiattoli   guardare all'orizzonte e scorgere persino il golfo di   Manfredonia  .     Anche le bellezze della pietra  come la  Chiesetta di San Vito  e l'antica  fontana   meritano attenzione e vale la pena perdere l'orientamento tra gli inestricabili vicoletti dove all'orecchio giunge una parlata dalla cadenza provenzale  risultato del soggiorno dei soldati francesi di Carlo d'Angiò nelle vicinanze del borgo  nel Duecento. Da qui  l' Arco dei Provenzali   suggestiva porta cittadina  e l'originale  dialetto  parlato in paese. 
Spiaggia di Fesca,Spiagge,072006,Bari (BA),Lungomare IX Maggio,,70122,41.139626,16.816244,,info.baricity@viaggiareinpuglia.it,+390805242244,,,,,http://www.viaggiareinpuglia.it/img/Parco/mare1_giannella_1426244883490.jpg,Vittorio Giannella,,,,,Il quartiere Fesca di  Bari  si affaccia sullo spumeggiante mar Adriatico con una piccola  spiaggia sabbiosa  incorniciata dagli  scogli   ormai inglobata nella città. La spiaggia presenta un lido attrezzato con  ombrelloni  e  lettini  per godersi il  relax  in riva al mare.     L'area è divisa da un piccolo viale in cemento che porta a una  passerella  che si protende sul mare.
Cala San Giorgio,Spiagge,072028,Mola di Bari (BA),Cala San Giorgio,,70042,41.076984,17.056765,,info@prolocomola.com,+390804734337,,,,,http://www.viaggiareinpuglia.it/img/Parco/mare1_giannella_1426245513983.jpg,Vittorio Giannella,,,,,La spiaggia di Cala San Giorgio è una piccola insenatura che si apre a nord di  Mola di Bari  e sulla quale si affacciano un residence  un camping e  uno dei più antichi stabilimenti balneari  del Barese.     La costa è tutta molto  bassa e rocciosa . Per facilitare l'accesso al mare c'è una passerella di legno che consente di immergersi nell'acqua  al di là della battigia. Lo stabilimento dispone di un'area di spiaggia sabbiosa privata e di una piscina in riva al mare.
Copacabana,Spiagge,072030,Monopoli (BA),Copacabana,,70043,40.94062,17.31671,,info.monopoli@viaggiareinpuglia.it,+390804140264,,,,,http://www.viaggiareinpuglia.it/img/Parco/mare1_giannella_1426246041675.jpg,Vittorio Giannella,,,,,Scogliera incontaminata e sabbia sottile  sono quattro le  deliziose calette  che si aprono in località Copacabana  a sud della cittadina di  Monopoli   premiata con le 3 Vele di Legambiente.     Partendo da nord e scendendo lungo una scalinata creata nella roccia si approda nella cala denominata  Scaletta   coperta da un lato da un'alta parete rocciosa che fa da scudo nelle giornate ventose. Proseguendo più avanti  avanzando tra le rocce oppure con qualche bracciata in mare  ci si ritrova nella seconda caletta   Tre buchi   dove gli scogli si alternano alla sabbia.     Più vasta  invece  è l'incantevole  Cala di Copacabana  caratterizzata da una lunga distesa di sabbia su cui spunta  un grande scoglio . Il  fondale sabbioso  e l'acqua trasparente e poco profonda fanno subito venire voglia di un bagno refrigerante. L'ultima spiaggia è quella di  Lido Colonia  che offre un tratto di spiaggia libera e una parte attrezzata con tutti i confort mentre intorno si dispiega la  pineta  dove fare un pic-nic.
